Participant,Condition,Trial,ResponseTime,Accuracy,StimulusSide,ResponseSide
1,LR-LS,1,341.2441090885553,1,Left,Left
1,LR-LS,2,384.90042698244724,1,Left,Left
1,LR-LS,3,331.71095479841773,1,Left,Left
1,LR-LS,4,314.7351756271353,1,Left,Left
1,LR-LS,5,382.12390505834526,1,Left,Left
1,LR-LS,6,323.7335569920679,1,Left,Left
1,LR-LS,7,339.0084315466572,1,Left,Left
1,LR-LS,8,329.31619505304974,1,Left,Left
1,LR-LS,9,307.5844515532956,1,Left,Left
1,LR-LS,10,305.453443711892,0,Left,Left
1,LR-LS,11,362.0447978436422,1,Left,Left
1,LR-LS,12,325.9738173256725,1,Left,Left
1,LR-LS,13,354.6226773606596,0,Left,Left
1,LR-LS,14,360.2298076604308,1,Left,Left
1,LR-LS,15,328.80272688142054,1,Left,Left
1,LR-LS,16,304.3576007080088,1,Left,Left
1,LR-LS,17,382.4174392865289,1,Left,Left
1,LR-LS,18,320.62840603463445,1,Left,Left
1,LR-LS,19,325.4981096072163,1,Left,Left
1,LR-LS,20,278.9223773069864,1,Left,Left
1,LR-LS,21,351.46786033558476,0,Left,Left
1,LR-LS,22,314.501752029026,1,Left,Left
1,LR-LS,23,313.3881122780637,1,Left,Left
1,LR-LS,24,357.3924364316362,1,Left,Left
1,LR-LS,25,327.75285901549313,1,Left,Left
1,LR-LS,26,359.23026083434746,1,Left,Left
1,LR-LS,27,277.14404475903893,1,Left,Left
1,LR-LS,28,364.3059659805623,1,Left,Left
1,LR-LS,29,344.64192364181065,1,Left,Left
1,LR-LS,30,337.82865145776384,1,Left,Left
1,LR-LS,31,319.524474020147,1,Left,Left
1,LR-LS,32,380.4386318284733,1,Left,Left
1,LR-LS,33,336.64654951153494,1,Left,Left
1,LR-LS,34,295.0095078450631,1,Left,Left
1,LR-LS,35,398.3204452049623,1,Left,Left
1,LR-LS,36,334.6059763721921,1,Left,Left
1,LR-LS,37,329.4311673895461,1,Left,Left
1,LR-LS,38,287.3262243587979,1,Left,Left
1,LR-LS,39,310.6942018487833,1,Left,Left
1,LR-LS,40,348.8464504454967,1,Left,Left
1,LR-RS,1,322.6597358956738,1,Right,Left
1,LR-RS,2,326.3386531292304,1,Right,Left
1,LR-RS,3,319.6902238829877,1,Right,Left
1,LR-RS,4,310.7787083911992,1,Right,Left
1,LR-RS,5,314.2434981992749,0,Right,Left
1,LR-RS,6,381.3571585196829,1,Right,Left
1,LR-RS,7,373.0045059845559,1,Right,Left
1,LR-RS,8,331.9937775050264,0,Right,Left
1,LR-RS,9,285.7938495984261,1,Right,Left
1,LR-RS,10,300.7928023323139,1,Right,Left
1,LR-RS,11,329.7346377808635,1,Right,Left
1,LR-RS,12,331.7865616135079,1,Right,Left
1,LR-RS,13,307.62159595352705,1,Right,Left
1,LR-RS,14,298.4690932750102,1,Right,Left
1,LR-RS,15,292.91588441874796,1,Right,Left
1,LR-RS,16,231.82641345436178,1,Right,Left
1,LR-RS,17,369.5517988162266,1,Right,Left
1,LR-RS,18,380.3486612602211,1,Right,Left
1,LR-RS,19,415.4363491347951,0,Right,Left
1,LR-RS,20,418.36995532082284,1,Right,Left
1,LR-RS,21,245.34115363692393,1,Right,Left
1,LR-RS,22,270.7806740805303,1,Right,Left
1,LR-RS,23,340.64156100005914,1,Right,Left
1,LR-RS,24,288.7470099200933,1,Right,Left
1,LR-RS,25,378.1589835761338,1,Right,Left
1,LR-RS,26,302.417044070898,1,Right,Left
1,LR-RS,27,371.8031655959019,1,Right,Left
1,LR-RS,28,361.904617540929,1,Right,Left
1,LR-RS,29,425.1834986048467,1,Right,Left
1,LR-RS,30,333.9910781116134,1,Right,Left
1,LR-RS,31,307.8255675313847,1,Right,Left
1,LR-RS,32,323.0376317876496,1,Right,Left
1,LR-RS,33,310.2757970025824,0,Right,Left
1,LR-RS,34,279.49834224224105,1,Right,Left
1,LR-RS,35,273.313167930227,1,Right,Left
1,LR-RS,36,347.699350895666,1,Right,Left
1,LR-RS,37,374.24814540462097,0,Right,Left
1,LR-RS,38,361.14581887684045,0,Right,Left
1,LR-RS,39,299.9721549787843,1,Right,Left
1,LR-RS,40,287.33779108204516,1,Right,Left
1,RR-RS,1,355.76842454980954,1,Right,Right
1,RR-RS,2,298.47135554727896,1,Right,Right
1,RR-RS,3,317.9980363952462,1,Right,Right
1,RR-RS,4,322.9695978607666,1,Right,Right
1,RR-RS,5,323.2785699412156,1,Right,Right
1,RR-RS,6,328.3507300148272,1,Right,Right
1,RR-RS,7,304.60053743109484,1,Right,Right
1,RR-RS,8,355.1791935104866,1,Right,Right
1,RR-RS,9,345.2975038566714,1,Right,Right
1,RR-RS,10,370.0277515194807,1,Right,Right
1,RR-RS,11,301.6617446319451,1,Right,Right
1,RR-RS,12,277.081165452785,0,Right,Right
1,RR-RS,13,321.59689378058295,1,Right,Right
1,RR-RS,14,330.8343683541986,1,Right,Right
1,RR-RS,15,323.00391343067884,1,Right,Right
1,RR-RS,16,335.946391048147,1,Right,Right
1,RR-RS,17,273.35868835546705,1,Right,Right
1,RR-RS,18,328.0996120524727,1,Right,Right
1,RR-RS,19,303.56440137071644,1,Right,Right
1,RR-RS,20,283.49428833411093,1,Right,Right
1,RR-RS,21,324.093606006267,1,Right,Right
1,RR-RS,22,378.7416598924698,0,Right,Right
1,RR-RS,23,359.81090643715896,1,Right,Right
1,RR-RS,24,304.54748121700436,1,Right,Right
1,RR-RS,25,370.3445935663842,1,Right,Right
1,RR-RS,26,308.6674016731465,1,Right,Right
1,RR-RS,27,306.95299712596074,0,Right,Right
1,RR-RS,28,266.31300441944074,1,Right,Right
1,RR-RS,29,318.3151556644266,1,Right,Right
1,RR-RS,30,300.527978570081,1,Right,Right
1,RR-RS,31,334.91372963848727,1,Right,Right
1,RR-RS,32,312.1350316949583,1,Right,Right
1,RR-RS,33,338.09782130662893,1,Right,Right
1,RR-RS,34,309.1626644713016,1,Right,Right
1,RR-RS,35,374.5664179385877,1,Right,Right
1,RR-RS,36,309.92069841029206,0,Right,Right
1,RR-RS,37,341.9505123925694,0,Right,Right
1,RR-RS,38,305.79528619251295,1,Right,Right
1,RR-RS,39,333.41467297092464,1,Right,Right
1,RR-RS,40,339.18176551505064,1,Right,Right
1,RR-LS,1,361.11300383376084,1,Left,Right
1,RR-LS,2,369.0612849549859,0,Left,Right
1,RR-LS,3,384.2352503109929,1,Left,Right
1,RR-LS,4,277.96647003472685,1,Left,Right
1,RR-LS,5,271.8346319123105,1,Left,Right
1,RR-LS,6,300.1633680393984,1,Left,Right
1,RR-LS,7,394.6231853777863,1,Left,Right
1,RR-LS,8,341.0357971459233,1,Left,Right
1,RR-LS,9,419.3711448420825,1,Left,Right
1,RR-LS,10,377.5880141060194,0,Left,Right
1,RR-LS,11,336.24002646367023,0,Left,Right
1,RR-LS,12,450.8336252033614,1,Left,Right
1,RR-LS,13,299.4786219336617,1,Left,Right
1,RR-LS,14,391.9952972710409,1,Left,Right
1,RR-LS,15,341.86805271452806,1,Left,Right
1,RR-LS,16,351.97563056468675,1,Left,Right
1,RR-LS,17,251.82914450505228,1,Left,Right
1,RR-LS,18,361.34162850994096,1,Left,Right
1,RR-LS,19,347.3881309514939,0,Left,Right
1,RR-LS,20,336.35925395929735,1,Left,Right
1,RR-LS,21,301.22885411868515,1,Left,Right
1,RR-LS,22,362.40248905113987,0,Left,Right
1,RR-LS,23,310.12160263022054,1,Left,Right
1,RR-LS,24,368.0848383269791,1,Left,Right
1,RR-LS,25,411.3895423037907,1,Left,Right
1,RR-LS,26,402.74600784025847,1,Left,Right
1,RR-LS,27,419.9397601892781,1,Left,Right
1,RR-LS,28,240.94821537522483,0,Left,Right
1,RR-LS,29,341.75641547963045,1,Left,Right
1,RR-LS,30,390.90859052920496,1,Left,Right
1,RR-LS,31,351.3082792784762,1,Left,Right
1,RR-LS,32,308.39992152615247,1,Left,Right
1,RR-LS,33,310.54297036150604,1,Left,Right
1,RR-LS,34,315.69757615989,1,Left,Right
1,RR-LS,35,308.70540384091896,1,Left,Right
1,RR-LS,36,372.94278179439794,1,Left,Right
1,RR-LS,37,340.596455646025,1,Left,Right
1,RR-LS,38,290.3455906798667,1,Left,Right
1,RR-LS,39,367.90050421800515,1,Left,Right
1,RR-LS,40,336.80647686242924,1,Left,Right
2,LR-LS,1,337.77741215303485,1,Left,Left
2,LR-LS,2,314.5860747716132,1,Left,Left
2,LR-LS,3,381.9479799375851,1,Left,Left
2,LR-LS,4,300.1180976269451,1,Left,Left
2,LR-LS,5,322.5843713883503,1,Left,Left
2,LR-LS,6,307.8562889808003,1,Left,Left
2,LR-LS,7,288.18031136767587,1,Left,Left
2,LR-LS,8,314.18069405166494,1,Left,Left
2,LR-LS,9,335.58791904655936,1,Left,Left
2,LR-LS,10,334.5708243288922,1,Left,Left
2,LR-LS,11,265.91890556647036,1,Left,Left
2,LR-LS,12,327.73694181213665,1,Left,Left
2,LR-LS,13,309.9936785124113,1,Left,Left
2,LR-LS,14,255.86614253991826,1,Left,Left
2,LR-LS,15,279.4413535675997,1,Left,Left
2,LR-LS,16,241.59516802783406,1,Left,Left
2,LR-LS,17,310.74583629790214,1,Left,Left
2,LR-LS,18,327.63964123931623,1,Left,Left
2,LR-LS,19,327.562497663607,1,Left,Left
2,LR-LS,20,337.0258172812936,1,Left,Left
2,LR-LS,21,348.9262503270112,1,Left,Left
2,LR-LS,22,342.1238008632331,1,Left,Left
2,LR-LS,23,266.95538215190425,1,Left,Left
2,LR-LS,24,318.6351475972042,1,Left,Left
2,LR-LS,25,306.38380215128933,1,Left,Left
2,LR-LS,26,270.818331548165,1,Left,Left
2,LR-LS,27,306.7618621542478,1,Left,Left
2,LR-LS,28,306.5738963454627,1,Left,Left
2,LR-LS,29,266.7099830259732,1,Left,Left
2,LR-LS,30,269.0195206790537,1,Left,Left
2,LR-LS,31,356.7675209241075,1,Left,Left
2,LR-LS,32,282.3157029927405,1,Left,Left
2,LR-LS,33,312.4779918351448,1,Left,Left
2,LR-LS,34,351.5500900763313,1,Left,Left
2,LR-LS,35,298.01460238918963,1,Left,Left
2,LR-LS,36,304.81652870008594,1,Left,Left
2,LR-LS,37,277.5891413276807,1,Left,Left
2,LR-LS,38,345.5532115568584,1,Left,Left
2,LR-LS,39,315.25474436723437,1,Left,Left
2,LR-LS,40,301.22488461348155,1,Left,Left
2,LR-RS,1,358.70992460691053,1,Right,Left
2,LR-RS,2,294.5334278160896,1,Right,Left
2,LR-RS,3,304.94979015856956,1,Right,Left
2,LR-RS,4,256.86953601969736,1,Right,Left
2,LR-RS,5,313.04240531710775,1,Right,Left
2,LR-RS,6,358.70076686933976,1,Right,Left
2,LR-RS,7,339.643867022387,1,Right,Left
2,LR-RS,8,330.8169977088201,1,Right,Left
2,LR-RS,9,268.22852512759613,0,Right,Left
2,LR-RS,10,350.83109195814643,1,Right,Left
2,LR-RS,11,326.6189514455132,1,Right,Left
2,LR-RS,12,223.4115251956299,1,Right,Left
2,LR-RS,13,367.83457909977506,1,Right,Left
2,LR-RS,14,260.0455225668665,1,Right,Left
2,LR-RS,15,258.4126565673371,0,Right,Left
2,LR-RS,16,291.4238146971559,1,Right,Left
2,LR-RS,17,336.07863707675205,1,Right,Left
2,LR-RS,18,457.47126390320375,1,Right,Left
2,LR-RS,19,316.4254649814373,1,Right,Left
2,LR-RS,20,294.34869279987964,1,Right,Left
2,LR-RS,21,318.4533953354653,1,Right,Left
2,LR-RS,22,299.41730581245463,1,Right,Left
2,LR-RS,23,321.6777207491993,1,Right,Left
2,LR-RS,24,231.55622573163254,1,Right,Left
2,LR-RS,25,294.9639610161223,1,Right,Left
2,LR-RS,26,284.59618255632586,0,Right,Left
2,LR-RS,27,291.61326227250476,1,Right,Left
2,LR-RS,28,279.0949813478322,1,Right,Left
2,LR-RS,29,327.8885250804642,1,Right,Left
2,LR-RS,30,304.0460271126418,0,Right,Left
2,LR-RS,31,437.11683755798265,1,Right,Left
2,LR-RS,32,248.77350724703606,1,Right,Left
2,LR-RS,33,363.3102486888193,0,Right,Left
2,LR-RS,34,366.12019627492833,1,Right,Left
2,LR-RS,35,372.89659143182655,1,Right,Left
2,LR-RS,36,283.8881919587884,1,Right,Left
2,LR-RS,37,167.70318137498666,1,Right,Left
2,LR-RS,38,309.9250088344479,1,Right,Left
2,LR-RS,39,256.28566654478567,1,Right,Left
2,LR-RS,40,311.33244407936763,1,Right,Left
2,RR-RS,1,289.55322448696427,1,Right,Right
2,RR-RS,2,307.0402486035575,1,Right,Right
2,RR-RS,3,300.7406101451523,1,Right,Right
2,RR-RS,4,306.3818470444764,1,Right,Right
2,RR-RS,5,348.68700559273583,1,Right,Right
2,RR-RS,6,347.6754073525706,1,Right,Right
2,RR-RS,7,335.4868856791212,1,Right,Right
2,RR-RS,8,338.2494884090362,1,Right,Right
2,RR-RS,9,295.432887512484,1,Right,Right
2,RR-RS,10,312.07966433561745,1,Right,Right
2,RR-RS,11,318.99552374014183,1,Right,Right
2,RR-RS,12,372.8590631102329,0,Right,Right
2,RR-RS,13,348.1067763403206,1,Right,Right
2,RR-RS,14,335.63586194130676,1,Right,Right
2,RR-RS,15,326.0349497226063,1,Right,Right
2,RR-RS,16,333.93952820803696,1,Right,Right
2,RR-RS,17,284.98179622798835,1,Right,Right
2,RR-RS,18,344.5802102149885,1,Right,Right
2,RR-RS,19,315.7477325249968,1,Right,Right
2,RR-RS,20,304.9099652045657,1,Right,Right
2,RR-RS,21,323.9982098978113,1,Right,Right
2,RR-RS,22,273.1397720219659,1,Right,Right
2,RR-RS,23,348.5543827647899,1,Right,Right
2,RR-RS,24,309.17790623479317,1,Right,Right
2,RR-RS,25,344.24580893727466,1,Right,Right
2,RR-RS,26,324.31599599732317,1,Right,Right
2,RR-RS,27,307.8889900735569,1,Right,Right
2,RR-RS,28,332.0621995677822,1,Right,Right
2,RR-RS,29,348.7899311549482,1,Right,Right
2,RR-RS,30,294.3277249341308,1,Right,Right
2,RR-RS,31,333.52160491934694,1,Right,Right
2,RR-RS,32,327.7233507216481,1,Right,Right
2,RR-RS,33,340.7366891778464,0,Right,Right
2,RR-RS,34,327.1157520828896,1,Right,Right
2,RR-RS,35,312.15113169334387,1,Right,Right
2,RR-RS,36,297.4421655408387,1,Right,Right
2,RR-RS,37,294.25031632300056,1,Right,Right
2,RR-RS,38,301.67572557656376,1,Right,Right
2,RR-RS,39,382.6099913266984,1,Right,Right
2,RR-RS,40,296.7410421825593,1,Right,Right
2,RR-LS,1,337.86200781849266,0,Left,Right
2,RR-LS,2,389.3160525493618,1,Left,Right
2,RR-LS,3,331.6622175215228,1,Left,Right
2,RR-LS,4,335.662265717486,1,Left,Right
2,RR-LS,5,406.1984300123722,1,Left,Right
2,RR-LS,6,225.48628777361884,1,Left,Right
2,RR-LS,7,328.4731072086806,1,Left,Right
2,RR-LS,8,352.385432168325,0,Left,Right
2,RR-LS,9,394.49933887681107,1,Left,Right
2,RR-LS,10,356.0748249018952,1,Left,Right
2,RR-LS,11,244.13873044605953,0,Left,Right
