Participant,adaptation,RT,MT,Age,Handedness,education,sex,clumsy,videogames,major,Sleep
1,13.32507033045977,242.4017094017094,76.0,22.0,righth,secondaryschool,female,Agree,Neutral,STEM,6
2,15.094509308620689,279.2857142857143,188.44444444444446,63.0,righth,graduate,female,Strongly Disagree,Disagree,STEM,7
3,3.4493743155172414,258.6302521008403,66.92307692307692,15.0,righth,middleschool,male,Disagree,Strongly Agree,Other,6
4,14.620914599425287,258.3050847457627,49.427350427350426,17.0,righth,secondaryschool,male,Strongly Agree,Strongly Agree,Other,9
5,1.534897249517241,572.3675213675214,776.2946428571429,79.0,righth,technicalschool,female,Disagree,Strongly Disagree,STEM,8
6,10.564082069620689,280.47058823529414,67.12820512820512,21.0,righth,graduate,male,Neutral,Disagree,ArtsHum,10
7,19.755796820114945,181.51260504201682,86.01739130434783,19.0,righth,college,female,Agree,Disagree,SocialScience,8
8,8.248075333908048,291.15833333333336,91.35344827586206,13.0,righth,middleschool,male,Agree,Agree,SocialScience,9
9,19.634344183908045,246.26666666666668,142.52991452991452,19.0,righth,middleschool,female,Disagree,Agree,STEM,7
10,15.609184446954025,279.00840336134456,231.27118644067798,20.0,lefth,middleschool,female,Neutral,Disagree,STEM,9
11,18.952033355148146,315.02564102564105,626.3391304347826,54.0,righth,technicalschool,female,Disagree,Disagree,Other,6
12,20.555701512068968,215.5042735042735,177.97435897435898,24.0,righth,graduate,female,Neutral,Disagree,STEM,7
13,17.365602446747125,248.03418803418805,87.94957983193277,27.0,righth,middleschool,male,Neutral,Strongly Agree,Psychology,6
14,9.39888130962069,250.5546218487395,134.59322033898306,15.0,righth,middleschool,male,Agree,Agree,STEM,8
15,3.1221775379310346,348.28205128205127,198.97413793103448,36.0,lefth,bachelor,female,Disagree,Disagree,Psychology,7
16,7.847924279425287,255.9747899159664,132.4915254237288,20.0,righth,secondaryschool,female,Agree,Agree,STEM,7
17,10.31586158505747,237.83050847457628,227.36206896551724,29.0,righth,graduate,male,Disagree,Neutral,STEM,7
18,27.54147579370115,171.6890756302521,78.43697478991596,12.0,righth,rathernotsay,male,Strongly Disagree,Strongly Agree,STEM,9
19,9.439987161494253,365.8220338983051,106.8974358974359,17.0,righth,middleschool,male,Disagree,Neutral,Other,8
20,9.860563898505747,230.9747899159664,76.80341880341881,29.0,righth,bachelor,male,Disagree,Agree,Psychology,6
21,8.449749799126437,310.3898305084746,140.25,28.0,righth,graduate,male,Neutral,Agree,SocialScience,7
22,5.325812114367816,262.43333333333334,97.45689655172414,20.0,righth,secondaryschool,male,Neutral,Strongly Agree,STEM,5
23,16.526823429310348,222.42735042735043,215.56034482758622,17.0,lefth,secondaryschool,male,Disagree,Disagree,Other,6
24,2.6373320092413794,170.16666666666666,127.16239316239316,18.0,righth,middleschool,male,Neutral,Strongly Agree,STEM,7
25,18.45042680229885,323.6525423728813,175.6949152542373,44.0,righth,graduate,male,Strongly Disagree,Strongly Disagree,STEM,6
26,8.113059043103448,183.23529411764707,95.64035087719299,17.0,righth,secondaryschool,male,Agree,Strongly Agree,ArtsHum,6
27,19.434965415643678,118.12711864406779,116.94067796610169,16.0,righth,middleschool,female,Agree,Neutral,STEM,10
28,16.00489002241379,127.91666666666667,116.61864406779661,19.0,righth,secondaryschool,male,Strongly Agree,Agree,STEM,6
29,11.313659712833331,180.890756302521,110.3076923076923,20.0,righth,bachelor,male,Disagree,Agree,STEM,8
30,21.996681076701147,288.2436974789916,107.26495726495726,42.0,righth,graduate,male,Strongly Disagree,Strongly Disagree,STEM,6
31,9.87687249827586,200.675,46.530434782608694,19.0,righth,college,male,Strongly Disagree,Strongly Disagree,Business,8
32,9.873857721264368,249.42372881355934,99.83760683760684,18.0,righth,college,female,Strongly Agree,Disagree,SocialScience,7
33,8.740712293103448,526.5762711864406,608.1052631578947,54.0,righth,college,male,Neutral,Strongly Disagree,Business,8
34,19.092802150574713,190.0,101.30357142857143,49.0,righth,graduate,female,Neutral,Disagree,Psychology,7
35,6.457519519540228,335.3109243697479,84.24369747899159,23.0,righth,college,female,Disagree,Strongly Agree,STEM,7
36,17.166637729482762,332.29661016949154,92.52991452991454,26.0,righth,bachelor,male,Disagree,Strongly Agree,STEM,8
37,5.488472606344828,244.55,149.3913043478261,25.0,righth,secondaryschool,other,Neutral,Strongly Agree,STEM,8
38,26.439942375287355,511.4830508474576,62.35042735042735,45.0,righth,middleschool,male,Strongly Disagree,Disagree,STEM,7
39,10.840096555172414,250.2136752136752,286.4786324786325,19.0,righth,bachelor,female,Neutral,Strongly Disagree,STEM,6
40,9.74791768145977,240.7983193277311,304.60169491525426,43.0,righth,bachelor,female,Neutral,Strongly Disagree,Psychology,7
41,9.955017391379311,241.17948717948718,235.40677966101694,21.0,righth,secondaryschool,male,Neutral,Disagree,STEM,7
42,17.18193681034483,244.41525423728814,84.58823529411765,18.0,righth,secondaryschool,female,Strongly Agree,Strongly Disagree,Psychology,7
43,6.563947321632185,234.48739495798318,89.08474576271186,19.0,righth,college,male,Neutral,Agree,Business,7
44,12.485981169655172,313.6470588235294,61.73275862068966,25.0,righth,college,male,Disagree,Strongly Agree,Psychology,5
45,20.91794003481609,238.425,125.51304347826087,46.0,lefth,bachelor,male,Strongly Disagree,Strongly Disagree,Psychology,10
46,25.054365151149423,246.90833333333333,164.61344537815125,20.0,lefth,secondaryschool,female,Neutral,Disagree,Psychology,8
47,11.963717883333334,345.05128205128204,285.0701754385965,14.0,righth,middleschool,female,Agree,Strongly Disagree,SocialScience,7
