Participant,adaptation,RT,MT,Age,Handedness,education,sex,clumsy,videogames,major,Sleep
1,4.250980856666667,242.4017094017094,76.0,22.0,righth,secondaryschool,female,Agree,Neutral,STEM,6
2,-8.61035112,279.2857142857143,188.44444444444446,63.0,righth,graduate,female,Strongly Disagree,Disagree,STEM,7
3,1.4062406366666667,258.6302521008403,66.92307692307692,15.0,righth,middleschool,male,Disagree,Strongly Agree,Other,6
4,-0.19388923999999985,258.3050847457627,49.427350427350426,17.0,righth,secondaryschool,male,Strongly Agree,Strongly Agree,Other,9
5,-0.25505168966666725,572.3675213675214,776.2946428571429,79.0,righth,technicalschool,female,Disagree,Strongly Disagree,STEM,8
6,-0.9340264626000001,280.47058823529414,67.12820512820512,21.0,righth,graduate,male,Neutral,Disagree,ArtsHum,10
7,-15.546107153333333,181.51260504201682,86.01739130434783,19.0,righth,college,female,Agree,Disagree,SocialScience,8
8,-2.7717127533333326,291.15833333333336,91.35344827586206,13.0,righth,middleschool,male,Agree,Agree,SocialScience,9
9,0.9115778033333333,246.26666666666668,142.52991452991452,19.0,righth,middleschool,female,Disagree,Agree,STEM,7
10,-9.856934091000001,279.00840336134456,231.27118644067798,20.0,lefth,middleschool,female,Neutral,Disagree,STEM,9
11,2.9982501910833332,315.02564102564105,626.3391304347826,54.0,righth,technicalschool,female,Disagree,Disagree,Other,6
12,1.4668263966666666,215.5042735042735,177.97435897435898,24.0,righth,graduate,female,Neutral,Disagree,STEM,7
13,-1.6073236748666666,248.03418803418805,87.94957983193277,27.0,righth,middleschool,male,Neutral,Strongly Agree,Psychology,6
14,0.4209417002999997,250.5546218487395,134.59322033898306,15.0,righth,middleschool,male,Agree,Agree,STEM,8
15,-0.9643245399999998,348.28205128205127,198.97413793103448,36.0,lefth,bachelor,female,Disagree,Disagree,Psychology,7
16,-0.5857995029999999,255.9747899159664,132.4915254237288,20.0,righth,secondaryschool,female,Agree,Agree,STEM,7
17,-1.1145307000000002,237.83050847457628,227.36206896551724,29.0,righth,graduate,male,Disagree,Neutral,STEM,7
18,-0.6116568617999997,171.6890756302521,78.43697478991596,12.0,righth,rathernotsay,male,Strongly Disagree,Strongly Agree,STEM,9
